model,regime,seed,cp_method,cov_stressed,cov_all,stress_drop
lstm,L,42,cqr_rolling,0.8210526315789474,0.8031496062992126,0.017903025279734752
lstm,L,42,cqr_static,0.781578947368421,0.7811023622047244,0.00047658516369664117
lstm,L,42,decay_ocp_cqr,0.8184210526315789,0.8362204724409449,-0.017799419809365946
lstm,L,42,dtaci_cqr,0.8605263157894737,0.815748031496063,0.044778284293410686
lstm,L,42,mondrian_cqr,0.8710526315789474,0.8456692913385827,0.025383340240364705
lstm,L,42,native,0.8421052631578947,0.8771653543307086,-0.035060091172813945
lstm,L,42,pid_cqr,0.8447368421052631,0.8102362204724409,0.03450062163282219
lstm,L,42,pid_local_cqr,0.8473684210526315,0.8086614173228347,0.03870700372979685
lstm,L,42,pid_tan_cqr,0.8236842105263158,0.8236220472440945,6.216328222130585e-05
lstm,L,42,saocp_cqr,0.9263157894736842,0.9173228346456693,0.008992954828014876
lstm,L,42,sfogd_cqr,0.85,0.8039370078740158,0.04606299212598419
lstm,L,42,spci_cqr,0.8052631578947368,0.7669291338582677,0.03833402403646913
lstm,L,43,aci_cqr,0.8315789473684211,0.8062992125984252,0.0252797347699959
lstm,L,43,agaci_cqr,0.8421052631578947,0.8110236220472441,0.031081641110650593
lstm,L,43,cqr_rolling,0.8315789473684211,0.8094488188976378,0.022130128470783328
lstm,L,43,cqr_static,0.8631578947368421,0.852755905511811,0.010401989225031105
lstm,L,43,decay_ocp_cqr,0.8657894736842106,0.8511811023622047,0.014608371322005875
lstm,L,43,dtaci_cqr,0.8421052631578947,0.8181102362204724,0.02399502693742228
lstm,L,43,mondrian_cqr,0.8842105263157894,0.8637795275590551,0.020430998756734375
lstm,L,43,native,0.8736842105263158,0.8755905511811024,-0.0019063406547865647
lstm,L,43,pid_cqr,0.8263157894736842,0.8102362204724409,0.0160795690012433
lstm,L,43,pid_local_cqr,0.8368421052631579,0.8110236220472441,0.025818483215913846
lstm,L,43,pid_tan_cqr,0.8447368421052631,0.8275590551181102,0.017177786987152888
lstm,L,43,saocp_cqr,0.9263157894736842,0.9094488188976378,0.01686697057604636
lstm,L,43,sfogd_cqr,0.8342105263157895,0.8094488188976378,0.024761707418151757
lstm,L,43,spci_cqr,0.8105263157894737,0.7818897637795276,0.02863655200994608
lstm,L,44,aci_cqr,0.8131578947368421,0.8094488188976378,0.0037090758392043233
lstm,L,44,agaci_cqr,0.8,0.8070866141732284,-0.007086614173228312
lstm,L,44,cqr_rolling,0.8078947368421052,0.8062992125984252,0.0015955242436800354
lstm,L,44,cqr_static,0.781578947368421,0.8078740157480315,-0.026295068379610487
lstm,L,44,decay_ocp_cqr,0.7921052631578948,0.8307086614173228,-0.038603398259428046
lstm,L,44,dtaci_cqr,0.8184210526315789,0.8165354330708662,0.001885619560712759
lstm,L,44,mondrian_cqr,0.8736842105263158,0.8614173228346457,0.01226688769167017
lstm,L,44,native,0.8078947368421052,0.8645669291338582,-0.05667219229175302
lstm,L,44,pid_cqr,0.8078947368421052,0.8133858267716535,-0.005491089929548276
lstm,L,44,pid_local_cqr,0.8315789473684211,0.8133858267716535,0.018193120596767587
