model,regime,seed,cp_method,regime_label,coverage,winkler,skill,skill_iqr,n_countries,regime_kind
arma_monthly,L,42,dtaci_cqr,hiking,0.7807692307692308,0.2389890774691867,0.15108625889316502,0.4703388365104837,10,calendar
arma_monthly,L,42,dtaci_cqr,qe,0.8293333333333334,0.5403924407287056,-0.0195331782567284,0.11879015896297868,10,calendar
arma_monthly,L,42,mondrian_cqr,hiking,0.85,0.26130017292116975,0.08149579506046284,0.5876083896553891,10,calendar
arma_monthly,L,42,mondrian_cqr,qe,0.868,0.620744335757153,-0.12492174089227659,0.11957964895054196,10,calendar
arma_monthly,L,42,native,hiking,0.9346153846153846,0.39105479290365086,-0.0131048558442165,0.06270783220264517,10,calendar
arma_monthly,L,42,native,qe,0.8773333333333333,0.5988307318983209,-0.027969286384766145,0.0437835951171503,10,calendar
arma_monthly,L,42,pid_cqr,hiking,0.801923076923077,0.2709690698690335,0.13203918432492867,0.3978324503740585,10,calendar
arma_monthly,L,42,pid_cqr,qe,0.8213333333333334,0.5484097867895,-0.011018802433086727,0.09405872982426,10,calendar
arma_monthly,L,42,pid_local_cqr,hiking,0.801923076923077,0.31257028151278615,0.1030807578390156,0.32636493284802626,10,calendar
arma_monthly,L,42,pid_local_cqr,qe,0.824,0.5706441978619553,-0.004425269604374948,0.09059307496637373,10,calendar
arma_monthly,L,42,pid_tan_cqr,hiking,0.8076923076923077,0.28598237922507336,0.04323867425202438,0.5006897138915447,10,calendar
arma_monthly,L,42,pid_tan_cqr,qe,0.828,0.5956769305473983,-0.15596021782636715,0.14284477434347226,10,calendar
arma_monthly,L,42,saocp_cqr,hiking,0.9461538461538461,0.39842446837186907,-0.04994732290231163,0.08000594629872212,10,calendar
arma_monthly,L,42,saocp_cqr,qe,0.912,0.6619621694854112,-0.09568456530906799,0.08077910506294256,10,calendar
arma_monthly,L,42,sfogd_cqr,hiking,0.7923076923076923,0.3090602179675042,0.09806905680390948,0.2814595202597478,10,calendar
arma_monthly,L,42,sfogd_cqr,qe,0.8106666666666666,0.5867164791991372,-0.06528559250579846,0.07515966791320611,10,calendar
arma_monthly,L,42,spci_cqr,hiking,0.7384615384615385,0.25557573353808144,0.06489973879031896,0.49544644638869345,10,calendar
arma_monthly,L,42,spci_cqr,qe,0.788,0.5774619788325812,-0.002218047128445033,0.1230938294282645,10,calendar
lgbm,G,42,aci_cqr,hiking,0.7961538461538461,0.29614921277152356,0.16104549196555262,0.35924020527862977,10,calendar
lgbm,G,42,aci_cqr,qe,0.8533333333333334,0.5153883793102132,0.08290195351168056,0.08908306903963012,10,calendar
lgbm,G,42,agaci_cqr,hiking,0.7923076923076923,0.29463480471143333,0.1612063775186125,0.3470880479058607,10,calendar
lgbm,G,42,agaci_cqr,qe,0.848,0.513836924067427,0.08570242267433054,0.07654302208667874,10,calendar
lgbm,G,42,cqr_rolling,hiking,0.7980769230769231,0.2953331667200617,0.16323340479875453,0.34488971861367496,10,calendar
lgbm,G,42,cqr_rolling,qe,0.844,0.5140984174610151,0.08751512028884151,0.07313350487191303,10,calendar
lgbm,G,42,cqr_static,hiking,0.8576923076923076,0.3821596488490408,-0.02602085246627517,0.09781606773110879,10,calendar
lgbm,G,42,cqr_static,qe,0.8653333333333333,0.553879751491308,0.05987133064046962,0.06778232266600576,10,calendar
lgbm,G,42,decay_ocp_cqr,hiking,0.8211538461538461,0.2858059971778011,0.13239633324728406,0.3652933371847804,10,calendar
lgbm,G,42,decay_ocp_cqr,qe,0.8253333333333334,0.5016817146995549,0.1035283388738063,0.06633796251949714,10,calendar
lgbm,G,42,dtaci_cqr,hiking,0.7846153846153846,0.29466137131219006,0.1595546318957511,0.3578838020079767,10,calendar
lgbm,G,42,dtaci_cqr,qe,0.8533333333333334,0.51174865300375,0.08515734779407214,0.08084732231544042,10,calendar
lgbm,G,42,mondrian_cqr,hiking,0.85,0.31583287979551433,0.0792642090269643,0.35439814146040416,10,calendar
lgbm,G,42,mondrian_cqr,qe,0.876,0.5527823830778303,0.02868411325058262,0.10416824262628754,10,calendar
lgbm,G,42,native,hiking,0.8884615384615384,0.32086590964153855,0.07961685511276095,0.1975381788131515,10,calendar
lgbm,G,42,native,qe,0.8546666666666667,0.514067549692756,0.09210810514172812,0.07215507946682392,10,calendar
lgbm,G,42,pid_cqr,hiking,0.7846153846153846,0.303639527853377,0.10505731698514498,0.33317038353062867,10,calendar
lgbm,G,42,pid_cqr,qe,0.8186666666666667,0.5038626393042479,0.09075913190221829,0.08396809167152378,10,calendar
lgbm,G,42,pid_local_cqr,hiking,0.8,0.32828326230265786,0.058147752296352495,0.330496816215901,10,calendar
lgbm,G,42,pid_local_cqr,qe,0.816,0.5222240203915971,0.06672832668986056,0.08353470539734509,10,calendar
lgbm,G,42,pid_tan_cqr,hiking,0.7961538461538461,0.33902522357111603,0.007762616103763109,0.42132641102906654,10,calendar
lgbm,G,42,pid_tan_cqr,qe,0.8293333333333334,0.6095593796126549,-0.06352380793993462,0.12135492724158259,10,calendar
lgbm,G,42,saocp_cqr,hiking,0.9173076923076923,0.3410769211950015,0.03947505728999989,0.2264085087175958,10,calendar
lgbm,G,42,saocp_cqr,qe,0.8986666666666666,0.5557284395301315,0.03218109000713626,0.06446590320958065,10,calendar
lgbm,G,42,sfogd_cqr,hiking,0.7846153846153846,0.33708042252806464,0.02952054432670964,0.23782818338208034,10,calendar
lgbm,G,42,sfogd_cqr,qe,0.812,0.5271618648205139,0.062214341159625264,0.08798634638348188,10,calendar
lgbm,G,42,spci_cqr,hiking,0.7365384615384616,0.30598015946426443,0.07579908032742605,0.45939572198991724,10,calendar
lgbm,G,42,spci_cqr,qe,0.7893333333333333,0.5233222154800998,0.07913636580390071,0.09348243754704383,10,calendar
lgbm,GI,42,aci_cqr,hiking,0.7846153846153846,0.3031678027845602,0.08470400819334506,0.35875266522586996,10,calendar
lgbm,GI,42,aci_cqr,qe,0.84,0.5181784234733392,0.0817176660330462,0.0542410519155804,10,calendar
lgbm,GI,42,agaci_cqr,hiking,0.7826923076923077,0.30237314567746626,0.08316527757725795,0.34812332335934176,10,calendar
lgbm,GI,42,agaci_cqr,qe,0.8293333333333334,0.5199083114481258,0.08143800289631192,0.05423169788925766,10,calendar
lgbm,GI,42,cqr_rolling,hiking,0.7807692307692308,0.30254798400189803,0.08470400819334506,0.3517304144189159,10,calendar
lgbm,GI,42,cqr_rolling,qe,0.8333333333333334,0.5174184489400869,0.09051342581138477,0.049921419786422144,10,calendar
lgbm,GI,42,cqr_static,hiking,0.823076923076923,0.4064104883921933,-0.06339100716072421,0.11918968203449729,10,calendar
lgbm,GI,42,cqr_static,qe,0.8333333333333334,0.5766231774125794,0.06834668101343444,0.07710872016938403,10,calendar
lgbm,GI,42,decay_ocp_cqr,hiking,0.8134615384615385,0.2945686692438979,0.06425063700280992,0.3714307323620496,10,calendar
lgbm,GI,42,decay_ocp_cqr,qe,0.812,0.5048987331761338,0.09408986390164875,0.06944541795026887,10,calendar
