model,regime,seed,cp_method,valid_country_share,validity_flag
xlstm,GF,44,mondrian_cqr,0.4,False
xlstm,GF,44,native,0.2,False
xlstm,GF,44,pid_cqr,1.0,True
xlstm,GF,44,pid_local_cqr,1.0,True
xlstm,GF,44,pid_tan_cqr,0.6,False
xlstm,GF,44,saocp_cqr,0.0,False
xlstm,GF,44,sfogd_cqr,1.0,True
xlstm,GF,44,spci_cqr,0.9,True
xlstm,GI,42,aci_cqr,0.9,True
xlstm,GI,42,agaci_cqr,1.0,True
xlstm,GI,42,cqr_rolling,0.8,True
xlstm,GI,42,cqr_static,0.5,False
xlstm,GI,42,decay_ocp_cqr,0.6,False
xlstm,GI,42,dtaci_cqr,0.9,True
xlstm,GI,42,mondrian_cqr,0.6,False
xlstm,GI,42,native,0.7,True
xlstm,GI,42,pid_cqr,1.0,True
xlstm,GI,42,pid_local_cqr,1.0,True
xlstm,GI,42,pid_tan_cqr,0.4,False
xlstm,GI,42,saocp_cqr,0.2,False
xlstm,GI,42,sfogd_cqr,0.8,True
xlstm,GI,42,spci_cqr,0.9,True
xlstm,GI,43,aci_cqr,0.5,False
xlstm,GI,43,agaci_cqr,0.6,False
xlstm,GI,43,cqr_rolling,0.5,False
xlstm,GI,43,cqr_static,0.0,False
xlstm,GI,43,decay_ocp_cqr,0.3,False
xlstm,GI,43,dtaci_cqr,0.8,True
xlstm,GI,43,mondrian_cqr,0.7,True
xlstm,GI,43,native,0.2,False
xlstm,GI,43,pid_cqr,1.0,True
xlstm,GI,43,pid_local_cqr,0.9,True
xlstm,GI,43,pid_tan_cqr,0.4,False
xlstm,GI,43,saocp_cqr,0.0,False
xlstm,GI,43,sfogd_cqr,0.9,True
xlstm,GI,43,spci_cqr,0.8,True
xlstm,GI,44,aci_cqr,0.7,True
xlstm,GI,44,agaci_cqr,0.7,True
xlstm,GI,44,cqr_rolling,0.6,False
xlstm,GI,44,cqr_static,0.1,False
xlstm,GI,44,decay_ocp_cqr,0.2,False
xlstm,GI,44,dtaci_cqr,0.7,True
xlstm,GI,44,mondrian_cqr,0.5,False
xlstm,GI,44,native,0.2,False
xlstm,GI,44,pid_cqr,1.0,True
xlstm,GI,44,pid_local_cqr,1.0,True
xlstm,GI,44,pid_tan_cqr,0.3,False
xlstm,GI,44,saocp_cqr,0.0,False
xlstm,GI,44,sfogd_cqr,0.9,True
xlstm,GI,44,spci_cqr,0.9,True
xlstm,L,42,aci_cqr,0.9,True
xlstm,L,42,agaci_cqr,1.0,True
xlstm,L,42,cqr_rolling,0.8,True
xlstm,L,42,cqr_static,0.3,False
xlstm,L,42,decay_ocp_cqr,0.4,False
xlstm,L,42,dtaci_cqr,1.0,True
xlstm,L,42,mondrian_cqr,0.4,False
xlstm,L,42,native,0.6,False
xlstm,L,42,pid_cqr,1.0,True
xlstm,L,42,pid_local_cqr,1.0,True
xlstm,L,42,pid_tan_cqr,0.6,False
xlstm,L,42,saocp_cqr,0.6,False
xlstm,L,42,sfogd_cqr,0.9,True
xlstm,L,42,spci_cqr,0.8,True
xlstm,L,43,aci_cqr,0.9,True
xlstm,L,43,agaci_cqr,1.0,True
xlstm,L,43,cqr_rolling,0.8,True
