model,regime,seed,cp_method,median_skill,mean_skill,mean_coverage,mean_abs_gap,median_mae_ratio,n_countries,valid_country_share,validity_flag,seed_span
lstm_const,G,43,spci_cqr,0.05643968054121412,0.07434318068418924,0.7708661417322834,0.03669291338582681,1.0036248741044753,10,0.9,True,0.008994325195702202
lstm_const,L,43,agaci_cqr,0.05635342499204571,0.08560893705167474,0.805511811023622,0.01937007874015747,1.0595414992334111,10,1.0,True,0.02865351229964369
lstm,L,42,cqr_rolling,0.05618011988812349,0.06588166739294538,0.8031496062992126,0.018582677165354323,1.0670996780076687,10,0.9,True,0.04691548166837367
lgbm_const,G,42,pid_local_cqr,0.05593881873083001,0.07158847871493554,0.8133858267716535,0.01433070866141728,1.0472634168958308,10,1.0,True,0.0
lgbm_const,G,42,sfogd_cqr,0.055777218049934685,0.05280619672068724,0.8039370078740158,0.00740157480314958,1.0472634168958308,10,1.0,True,0.0
lstm,L,42,spci_cqr,0.05571170642798984,0.05241965277354095,0.7669291338582677,0.03748031496062996,1.0670996780076687,10,0.9,True,0.046123712837060016
lgbm,GI,42,pid_cqr,0.05557805139871158,0.07589042454456137,0.8062992125984252,0.012283464566929104,1.0699379878423252,10,1.0,True,0.0
lstm,L,42,native,0.05539661706519222,0.06936284854288445,0.8771653543307087,0.0771653543307086,1.0670996780076687,10,0.4,False,0.04283383640419158
arma_monthly,L,42,cqr_rolling,0.05507678637996821,0.083354635784663,0.8228346456692913,0.03102362204724409,1.013710100950241,10,1.0,True,0.0
lstm,GF,43,spci_cqr,0.05439632545656847,0.03420511688252438,0.7850393700787401,0.020000000000000028,1.0172830632198389,10,1.0,True,0.06313244043844868
lstm,G,43,pid_cqr,0.05379814608124578,0.06629511871953837,0.8283464566929133,0.028346456692913323,1.0036248741044753,10,1.0,True,0.02071254994800964
lstm,L,42,agaci_cqr,0.053705133676267613,0.07320548473969421,0.8062992125984252,0.017007874015748003,1.0670996780076687,10,1.0,True,0.04624118056848203
arma,L,42,aci_cqr,0.05190935897050214,0.0832154027091906,0.8062992125984252,0.021732283464566914,1.0173893383146013,10,1.0,True,0.0
arma,L,42,pid_cqr,0.05181320443555576,0.07349879937486463,0.8149606299212598,0.014960629921259794,1.0173893383146013,10,0.9,True,0.0
tirex2_cov,ZS,42,pid_local_cqr,0.051620877594862946,0.07531264154007919,0.8031496062992126,0.008503937007873996,1.0008348361219246,10,1.0,True,0.0
lstm_const,G,44,spci_cqr,0.050887929945310495,0.08322241868076011,0.7653543307086614,0.04283464566929136,1.1163553998691171,10,0.8,True,0.008994325195702202
xlstm_const,L,44,aci_cqr,0.050819795663800627,0.04347919922442717,0.8110236220472441,0.02236220472440943,1.0780731998877844,10,1.0,True,0.07251805541910405
lstm,L,42,aci_cqr,0.049805682171168486,0.06944277190485633,0.7976377952755905,0.026614173228346437,1.0670996780076687,10,0.9,True,0.0498548100812633
