model,regime,seed,cp_method,median_sharpe,active_share,median_cap_ratio
lstm,G,42,spci_cqr,0.26556010977043054,0.02283464566929134,0.6690261186445858
lstm,G,43,aci_cqr,0.307389311747136,0.02204724409448819,0.719311594714019
lstm,G,43,agaci_cqr,0.3779103747046466,0.02125984251968504,0.6895592977949099
lstm,G,43,cqr_rolling,0.40066129977376874,0.01732283464566929,0.6906500571497765
lstm,G,43,cqr_static,-0.25503070578575976,0.013385826771653545,
lstm,G,43,decay_ocp_cqr,,0.0,
lstm,G,43,dtaci_cqr,0.3073893117471361,0.01889763779527559,0.7176935640566005
lstm,G,43,mondrian_cqr,0.33395868461254286,0.015748031496062992,0.8070656414375685
lstm,G,43,native,,0.0,
lstm,G,43,pid_cqr,-0.07501096778323801,0.024409448818897637,0.6691313822634004
lstm,G,43,pid_local_cqr,-0.1589708915360349,0.029921259842519688,0.7156685785680272
lstm,G,43,pid_tan_cqr,0.24985905366405464,0.04330708661417323,
lstm,G,43,saocp_cqr,,0.0,
lstm,G,43,sfogd_cqr,0.2057113155630729,0.03464566929133858,0.7020438292287594
lstm,G,43,spci_cqr,-0.2706845837733225,0.04724409448818898,0.6597237227124784
lstm,G,44,aci_cqr,0.2506335929301138,0.025196850393700787,0.6702662471025582
lstm,G,44,agaci_cqr,0.3073893117471358,0.027559055118110236,0.6642008602309402
lstm,G,44,cqr_rolling,0.30738931174713596,0.01811023622047244,0.6738521442344998
lstm,G,44,cqr_static,,0.0,
lstm,G,44,decay_ocp_cqr,0.30738931174713596,0.0007874015748031496,
lstm,G,44,dtaci_cqr,0.20642565477147917,0.02283464566929134,0.668245969803959
lstm,G,44,mondrian_cqr,0.5964476980197885,0.007874015748031496,
lstm,G,44,native,0.2265569654011436,0.07322834645669292,
lstm,G,44,pid_cqr,0.23931423419191644,0.03307086614173228,0.6198658234846941
lstm,G,44,pid_local_cqr,-0.031385866656201696,0.03464566929133858,0.6417181144334807
lstm,G,44,pid_tan_cqr,0.13902473458582476,0.05433070866141733,
lstm,G,44,saocp_cqr,0.11898692821838813,0.015748031496062992,
